algorithm_1,algorithm_2,n_instances,mean_delta_1,mean_delta_2,mean_diff_delta_1_minus_2,abs_mean_diff,better_by_mean,t_statistic,p_value_ttest,significant_ttest,wilcoxon_statistic,p_value_wilcoxon,significant_wilcoxon
best_exchange_random,first_transpose_cw,78,3.6359222692307696,17.08630648717949,-13.450384217948717,13.450384217948717,best_exchange_random,-77.39238745934972,8.841683541654239e-75,True,0.0,1.682175044870657e-14,True
best_exchange_random,best_transpose_cw,78,3.6359222692307696,17.078296538461544,-13.442374269230772,13.442374269230772,best_exchange_random,-77.19507712551739,1.0735633407394706e-74,True,0.0,1.682175044870657e-14,True
first_insert_random,first_transpose_random,78,2.0680414102564106,34.45631512820512,-32.38827371794871,32.38827371794871,first_insert_random,-73.41315263202083,4.8797443397043626e-73,True,0.0,1.682175044870657e-14,True
best_insert_cw,first_transpose_random,78,2.2607516025641026,34.45631512820512,-32.19556352564102,32.19556352564102,best_insert_cw,-72.68816785885532,1.0366154306243295e-72,True,0.0,1.682175044870657e-14,True
first_insert_cw,first_transpose_random,78,2.0164418974358975,34.45631512820512,-32.43987323076924,32.43987323076924,first_insert_cw,-72.45381795899753,1.324553958528915e-72,True,0.0,1.682175044870657e-14,True
best_insert_random,first_transpose_random,78,2.298090051282051,34.45631512820512,-32.158225076923074,32.158225076923074,best_insert_random,-72.36753164211397,1.4499363976885816e-72,True,0.0,1.682175044870657e-14,True
best_exchange_cw,first_transpose_cw,78,3.846478589743588,17.08630648717949,-13.239827897435894,13.239827897435894,best_exchange_cw,-71.27075493749199,4.619835131753422e-72,True,0.0,1.682175044870657e-14,True
best_exchange_cw,best_transpose_cw,78,3.846478589743588,17.078296538461544,-13.23181794871795,13.23181794871795,best_exchange_cw,-71.11800357009768,5.436447472180498e-72,True,0.0,1.682175044870657e-14,True
first_exchange_random,first_transpose_random,78,2.8590170384615377,34.45631512820512,-31.597298089743592,31.597298089743592,first_exchange_random,-70.97789097734177,6.313711674224511e-72,True,0.0,1.682175044870657e-14,True
first_exchange_cw,first_transpose_random,78,2.9659915000000003,34.45631512820512,-31.49032362820514,31.49032362820514,first_exchange_cw,-70.17156000452623,1.50180046021552e-71,True,0.0,1.682175044870657e-14,True
