instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds
N-be75oi_150,best,insert,random,2246534,2030543,9.614410,13.630604
N-be75oi_150,best,insert,cw,2246534,2094464,6.769094,13.579536
N-tiw56n54_150,best,transpose,random,837945,659168,21.335171,0.003768
N-tiw56n54_150,best,transpose,cw,837945,733424,12.473492,0.004873
N-tiw56n54_150,best,exchange,random,837945,708849,15.406262,11.353791
N-tiw56n54_150,best,exchange,cw,837945,754871,9.914016,11.238081
N-tiw56n54_150,best,insert,random,837945,766291,8.551158,13.819394
N-tiw56n54_150,best,insert,cw,837945,768691,8.264743,13.681375
N-t59n11xx_150,best,transpose,random,318960,239757,24.831640,0.003717
N-t59n11xx_150,best,transpose,cw,318960,264854,16.963256,0.004680
N-t59n11xx_150,best,exchange,random,318960,279436,12.391522,11.383482
N-t59n11xx_150,best,exchange,cw,318960,269517,15.501317,11.260320
N-t59n11xx_150,best,insert,random,318960,283181,11.217394,13.647798
N-t59n11xx_150,best,insert,cw,318960,277298,13.061826,13.826075
N-t69r11xx_150,best,transpose,random,11855957,9065709,23.534566,0.003733
N-t69r11xx_150,best,transpose,cw,11855957,9881555,16.653249,0.004683
N-t69r11xx_150,best,exchange,random,11855957,9764488,17.640659,11.499565
N-t69r11xx_150,best,exchange,cw,11855957,10632230,10.321621,11.312394
N-t69r11xx_150,best,insert,random,11855957,10700578,9.745135,13.864538
N-t69r11xx_150,best,insert,cw,11855957,10424008,12.077886,13.706115
N-t70f11xx_150,best,transpose,random,5150097,4129642,19.814287,0.003720
N-t70f11xx_150,best,transpose,cw,5150097,4442708,13.735450,0.004638
N-t70f11xx_150,best,exchange,random,5150097,4610091,10.485356,11.317198
N-t70f11xx_150,best,exchange,cw,5150097,4420603,14.164665,11.337568
N-t70f11xx_150,best,insert,random,5150097,4554615,11.562540,13.626635
N-t70f11xx_150,best,insert,cw,5150097,4578099,11.106548,13.704213
N-t74d11xx_150,best,transpose,random,9396044,7003730,25.460864,0.003859
N-t74d11xx_150,best,transpose,cw,9396044,8068321,14.130660,0.004821
N-t74d11xx_150,best,exchange,random,9396044,8145504,13.309218,11.428015
N-t74d11xx_150,best,exchange,cw,9396044,8365748,10.965210,11.310806
N-t74d11xx_150,best,insert,random,9396044,8485469,9.691047,13.583767
N-t74d11xx_150,best,insert,cw,9396044,8225246,12.460542,13.623814
N-be75eec_150,best,transpose,random,3482828,2609317,25.080509,0.003713
N-be75eec_150,best,transpose,cw,3482828,2850964,18.142268,0.004646
N-be75eec_150,best,exchange,random,3482828,3030628,12.983702,11.507193
N-be75eec_150,best,exchange,cw,3482828,3041162,12.681246,11.280740
N-be75eec_150,best,insert,random,3482828,3100859,10.967208,13.805245
N-be75eec_150,best,insert,cw,3482828,3032281,12.936240,13.679519
N-be75np_150,best,transpose,random,7174325,5051540,29.588637,0.003828
N-be75np_150,best,transpose,cw,7174325,6319599,11.913678,0.004796
N-be75np_150,best,exchange,random,7174325,6428942,10.389591,11.727591
N-be75np_150,best,exchange,cw,7174325,6169098,14.011451,11.577781
N-be75np_150,best,insert,random,7174325,6504287,9.339387,14.531161
N-be75np_150,best,insert,cw,7174325,6267349,12.641970,14.491942
N-t65l11xx_150,best,transpose,random,253396,186110,26.553695,0.004133
N-t65l11xx_150,best,transpose,cw,253396,218761,13.668329,0.005219
N-t65l11xx_150,best,exchange,random,253396,231088,8.803612,12.207507
N-t65l11xx_150,best,exchange,cw,253396,225817,10.883755,12.121027
N-t65l11xx_150,best,insert,random,253396,235535,7.048651,16.630332
N-t65l11xx_150,best,insert,cw,253396,236630,6.616521,16.665967
N-t59b11xx_150,best,transpose,random,3239550,2406780,25.706348,0.003708
N-t59b11xx_150,best,transpose,cw,3239550,2711710,16.293621,0.004756
N-t59b11xx_150,best,exchange,random,3239550,2797410,13.648192,11.869808
N-t59b11xx_150,best,exchange,cw,3239550,2755140,14.953003,11.913400
N-t59b11xx_150,best,insert,random,3239550,2904515,10.342023,14.415205
N-t59b11xx_150,best,insert,cw,3239550,2710805,16.321557,14.662723
N-t59d11xx_150,best,transpose,random,1462697,1138391,22.171783,0.003743
N-t59d11xx_150,best,transpose,cw,1462697,1237645,15.386098,0.004680
N-t59d11xx_150,best,exchange,random,1462697,1272052,13.033800,11.601822
N-t59d11xx_150,best,exchange,cw,1462697,1302953,10.921196,11.410004
N-t59d11xx_150,best,insert,random,1462697,1282886,12.293113,13.926634
N-t59d11xx_150,best,insert,cw,1462697,1200563,17.921278,13.873785
N-t75e11xx_150,best,transpose,random,41570193,30828862,25.839021,0.003735
N-t75e11xx_150,best,transpose,cw,41570193,34675628,16.585357,0.004724
N-t75e11xx_150,best,exchange,random,41570193,36805164,11.462610,12.098169
N-t75e11xx_150,best,exchange,cw,41570193,37988873,8.615115,11.945727
N-t75e11xx_150,best,insert,random,41570193,36262862,12.767155,14.070114
N-t75e11xx_150,best,insert,cw,41570193,38485791,7.419744,13.986684
Probabilty = 0.7
