instance,pivoting_rule,neighborhood,initial_solution,cost,delta_percent,time_seconds,instance_clean,best_known
N-stabu3_150,best,insert,cw,3717162,17.587688,0.054986,N-stabu3_150,4510445
N-t65n11xx_150,first,transpose,random,354393,35.650669,1.5e-05,N-t65n11xx_150,550733
N-t65n11xx_150,first,transpose,cw,443534,19.464786,0.000914,N-t65n11xx_150,550733
N-t65n11xx_150,first,exchange,random,354424,35.64504,1.2e-05,N-t65n11xx_150,550733
N-t65n11xx_150,first,exchange,cw,443532,19.465149,0.000917,N-t65n11xx_150,550733
N-t65n11xx_150,first,insert,random,354424,35.64504,1.2e-05,N-t65n11xx_150,550733
N-t65n11xx_150,first,insert,cw,443530,19.465512,0.000923,N-t65n11xx_150,550733
N-t65n11xx_150,best,transpose,random,356561,35.257012,0.000335,N-t65n11xx_150,550733
N-t65n11xx_150,best,transpose,cw,443590,19.454618,0.001243,N-t65n11xx_150,550733
N-t65n11xx_150,best,exchange,random,364297,33.852339,0.030318,N-t65n11xx_150,550733
N-t65n11xx_150,best,exchange,cw,447592,18.72795,0.030028,N-t65n11xx_150,550733
N-t65n11xx_150,best,insert,random,361253,34.405057,0.055164,N-t65n11xx_150,550733
N-t65n11xx_150,best,insert,cw,446877,18.857777,0.05603,N-t65n11xx_150,550733
N-tiw56n67_150,first,transpose,random,1349707,43.120561,1.3e-05,N-tiw56n67_150,2372926
N-tiw56n67_150,first,transpose,cw,2015630,15.057191,0.000957,N-tiw56n67_150,2372926
N-tiw56n67_150,first,exchange,random,1350420,43.090514,9e-06,N-tiw56n67_150,2372926
N-tiw56n67_150,first,exchange,cw,2017058,14.997012,0.000955,N-tiw56n67_150,2372926
N-tiw56n67_150,first,insert,random,1350420,43.090514,9e-06,N-tiw56n67_150,2372926
N-tiw56n67_150,first,insert,cw,2015508,15.062332,0.000954,N-tiw56n67_150,2372926
N-tiw56n67_150,best,transpose,random,1357639,42.78629,0.000322,N-tiw56n67_150,2372926
N-tiw56n67_150,best,transpose,cw,2016909,15.003291,0.001244,N-tiw56n67_150,2372926
N-tiw56n67_150,best,exchange,random,1458127,38.551518,0.030538,N-tiw56n67_150,2372926
N-tiw56n67_150,best,exchange,cw,2040318,14.016788,0.029756,N-tiw56n67_150,2372926
N-tiw56n67_150,best,insert,random,1420424,40.140401,0.053173,N-tiw56n67_150,2372926
N-tiw56n67_150,best,insert,cw,2033395,14.308537,0.054453,N-tiw56n67_150,2372926
N-t70d11xn_250,first,transpose,random,10477485,31.101193,3.7e-05,N-t70d11xn_250,15207063
N-t70d11xn_250,first,transpose,cw,12883073,15.282307,0.004161,N-t70d11xn_250,15207063
N-t70d11xn_250,first,exchange,random,10477736,31.099542,2.2e-05,N-t70d11xn_250,15207063
N-t70d11xn_250,first,exchange,cw,12884265,15.274468,0.006368,N-t70d11xn_250,15207063
N-t70d11xn_250,first,insert,random,10477462,31.101344,3.2e-05,N-t70d11xn_250,15207063
N-t70d11xn_250,first,insert,cw,12882955,15.283083,0.011123,N-t70d11xn_250,15207063
