instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds
N-tiw56n66_250,first,transpose,random,5370404,3762499,29.940113,0.000033
N-tiw56n66_250,first,transpose,cw,5370404,4516128,15.907109,0.004146
N-tiw56n66_250,first,exchange,random,5370404,5205633,3.068130,5.229781
N-tiw56n66_250,first,exchange,cw,5370404,5182390,3.500928,4.286058
N-tiw56n66_250,first,insert,random,5370404,5240385,2.421028,5.216014
N-tiw56n66_250,first,insert,cw,5370404,5253562,2.175665,3.471463
N-tiw56n66_250,best,transpose,random,5370404,3702212,31.062691,0.000072
N-tiw56n66_250,best,transpose,cw,5370404,4521109,15.814360,0.004815
N-tiw56n66_250,best,exchange,random,5370404,5178446,3.574368,0.828141
N-tiw56n66_250,best,exchange,cw,5370404,5157106,3.971731,0.781585
N-tiw56n66_250,best,insert,random,5370404,5221314,2.776141,0.918057
N-tiw56n66_250,best,insert,cw,5370404,5254980,2.149261,0.898976
N-stabu2_250,first,transpose,random,11500448,7008853,39.055826,0.000033
N-stabu2_250,first,transpose,cw,11500448,9628765,16.274870,0.004983
N-stabu2_250,first,exchange,random,11500448,11248985,2.186550,6.275185
N-stabu2_250,first,exchange,cw,11500448,11207951,2.543353,4.581054
N-stabu2_250,first,insert,random,11500448,11302638,1.720020,5.559133
N-stabu2_250,first,insert,cw,11500448,11262894,2.065606,3.164278
N-stabu2_250,best,transpose,random,11500448,7609885,33.829665,0.000070
N-stabu2_250,best,transpose,cw,11500448,9631344,16.252445,0.004251
N-stabu2_250,best,exchange,random,11500448,11133051,3.194632,0.973872
N-stabu2_250,best,exchange,cw,11500448,11077273,3.679639,0.789017
N-stabu2_250,best,insert,random,11500448,11270036,2.003505,0.887136
N-stabu2_250,best,insert,cw,11500448,11228075,2.368369,0.847967
N-t75n11xx_250,first,transpose,random,4524942,2907932,35.735486,0.000033
N-t75n11xx_250,first,transpose,cw,4524942,3799507,16.031918,0.006296
N-t75n11xx_250,first,exchange,random,4524942,4423608,2.239454,5.495735
N-t75n11xx_250,first,exchange,cw,4524942,4370250,3.418652,4.054111
N-t75n11xx_250,first,insert,random,4524942,4450481,1.645568,4.955229
N-t75n11xx_250,first,insert,cw,4524942,4400504,2.750046,2.821729
N-t75n11xx_250,best,transpose,random,4524942,2979903,34.144946,0.000058
N-t75n11xx_250,best,transpose,cw,4524942,3798975,16.043675,0.004200
N-t75n11xx_250,best,exchange,random,4524942,4379660,3.210693,0.891999
N-t75n11xx_250,best,exchange,cw,4524942,4346980,3.932912,0.665332
N-t75n11xx_250,best,insert,random,4524942,4400697,2.745781,0.859145
N-t75n11xx_250,best,insert,cw,4524942,4389903,2.984326,0.704401
N-be75eec_250,first,transpose,random,8893533,5816637,34.597004,0.000030
N-be75eec_250,first,transpose,cw,8893533,7337320,17.498254,0.006769
N-be75eec_250,first,exchange,random,8893533,8639783,2.853197,5.764033
N-be75eec_250,first,exchange,cw,8893533,8656487,2.665375,5.043675
N-be75eec_250,first,insert,random,8893533,8719012,1.962336,4.455061
N-be75eec_250,first,insert,cw,8893533,8753894,1.570118,3.348892
N-be75eec_250,best,transpose,random,8893533,5677335,36.163334,0.000060
N-be75eec_250,best,transpose,cw,8893533,7338353,17.486639,0.005010
N-be75eec_250,best,exchange,random,8893533,8539982,3.975372,0.867079
N-be75eec_250,best,exchange,cw,8893533,8607191,3.219665,0.724090
N-be75eec_250,best,insert,random,8893533,8694286,2.240358,1.058077
N-be75eec_250,best,insert,cw,8893533,8656866,2.661113,0.847807
N-tiw56n58_150,first,transpose,random,1155392,775998,32.836821,0.000014
N-tiw56n58_150,first,transpose,cw,1155392,956303,17.231295,0.001110
N-tiw56n58_150,first,exchange,random,1155392,1125022,2.628545,0.399840
N-tiw56n58_150,first,exchange,cw,1155392,1119756,3.084321,0.253367
N-tiw56n58_150,first,insert,random,1155392,1134288,1.826566,0.371693
N-tiw56n58_150,first,insert,cw,1155392,1130296,2.172077,0.220725
N-tiw56n58_150,best,transpose,random,1155392,691726,40.130622,0.000019
